state,sex,age_group,population
NC,Male,65-74 years,399924
NC,All Sexes,75-84 years,430970
NC,Female,75-84 years,250593
NC,Male,75-84 years,180377
NC,All Sexes,85 years and over,164142
NC,Female,85 years and over,111512
NC,Male,85 years and over,52630
NC,All Sexes,Total,9870768
NC,Female,Total,5036176
NC,Male,Total,4834592
ND,All Sexes,25-34 years,107803
ND,Female,25-34 years,49351
ND,Male,25-34 years,58452
ND,All Sexes,Under 25 years,252622
ND,Female,Under 25 years,117935
ND,Male,Under 25 years,134687
ND,All Sexes,35-44 years,82372
ND,Female,35-44 years,38609
ND,Male,35-44 years,43763
ND,All Sexes,45-54 years,90498
ND,Female,45-54 years,44348
ND,Male,45-54 years,46150
ND,All Sexes,55-64 years,92189
ND,Female,55-64 years,45177
ND,Male,55-64 years,47012
ND,All Sexes,65-74 years,54162
ND,Female,65-74 years,27455
ND,Male,65-74 years,26707
ND,All Sexes,75-84 years,33124
ND,Female,75-84 years,18750
ND,Male,75-84 years,14374
ND,All Sexes,85 years and over,17459
ND,Female,85 years and over,11625
ND,Male,85 years and over,5834
ND,All Sexes,Total,730229
ND,Female,Total,353250
ND,Male,Total,376979
NE,All Sexes,25-34 years,252414
NE,Female,25-34 years,123225
NE,Male,25-34 years,129189
NE,All Sexes,Under 25 years,643215
NE,Female,Under 25 years,306200
NE,Male,Under 25 years,337015
NE,All Sexes,35-44 years,225981
NE,Female,35-44 years,111359
NE,Male,35-44 years,114622
NE,All Sexes,45-54 years,239004
NE,Female,45-54 years,119369
NE,Male,45-54 years,119635
NE,All Sexes,55-64 years,234331
NE,Female,55-64 years,118782
NE,Male,55-64 years,115549
NE,All Sexes,65-74 years,146131
NE,Female,65-74 years,76369
NE,Male,65-74 years,69762
NE,All Sexes,75-84 years,84473
NE,Female,75-84 years,48166
NE,Male,75-84 years,36307
NE,All Sexes,85 years and over,40894
NE,Female,85 years and over,27038
NE,Male,85 years and over,13856
NE,All Sexes,Total,1866443
NE,Female,Total,930508
NE,Male,Total,935935
NH,All Sexes,25-34 years,154495
NH,Female,25-34 years,75602
NH,Male,25-34 years,78893
NH,All Sexes,Under 25 years,385885
NH,Female,Under 25 years,184326
NH,Male,Under 25 years,201559
NH,All Sexes,35-44 years,159325
NH,Female,35-44 years,80177
NH,Male,35-44 years,79148
NH,All Sexes,45-54 years,210225
NH,Female,45-54 years,106251
NH,Male,45-54 years,103974
NH,All Sexes,55-64 years,197914
NH,Female,55-64 years,100230
NH,Male,55-64 years,97684
NH,All Sexes,65-74 years,123021
NH,Female,65-74 years,63493
NH,Male,65-74 years,59528
NH,All Sexes,75-84 years,60143
NH,Female,75-84 years,33836
NH,Male,75-84 years,26307
NH,All Sexes,85 years and over,27221
NH,Female,85 years and over,17807
NH,Male,85 years and over,9414
NH,All Sexes,Total,1318229
NH,Female,Total,661722
NH,Male,Total,656507
NJ,All Sexes,25-34 years,1147169
NJ,Female,25-34 years,568465
NJ,Male,25-34 years,578704
NJ,All Sexes,Under 25 years,2746958
NJ,Female,Under 25 years,1311495
NJ,Male,Under 25 years,1435463
NJ,All Sexes,35-44 years,1170011
NJ,Female,35-44 years,592975
NJ,Male,35-44 years,577036
NJ,All Sexes,45-54 years,1332561
NJ,Female,45-54 years,682888
NJ,Male,45-54 years,649673
NJ,All Sexes,55-64 years,1150515
NJ,Female,55-64 years,598546
NJ,Male,55-64 years,551969
NJ,All Sexes,65-74 years,726212
NJ,Female,65-74 years,394467
NJ,Male,65-74 years,331745
NJ,All Sexes,75-84 years,390880
NJ,Female,75-84 years,228589
NJ,Male,75-84 years,162291
NJ,All Sexes,85 years and over,195199
NJ,Female,85 years and over,131549
NJ,Male,85 years and over,63650
NJ,All Sexes,Total,8859505
NJ,Female,Total,4508974
NJ,Male,Total,4350531
NM,All Sexes,25-34 years,276750
NM,Female,25-34 years,134790
NM,Male,25-34 years,141960
NM,All Sexes,Under 25 years,693666
NM,Female,Under 25 years,329968
NM,Male,Under 25 years,363698
NM,All Sexes,35-44 years,244759
NM,Female,35-44 years,121965
NM,Male,35-44 years,122794
NM,All Sexes,45-54 years,264079
NM,Female,45-54 years,134988
NM,Male,45-54 years,129091
NM,All Sexes,55-64 years,270046
NM,Female,55-64 years,141034
NM,Male,55-64 years,129012
NM,All Sexes,65-74 years,186755
NM,Female,65-74 years,98358
NM,Male,65-74 years,88397
NM,All Sexes,75-84 years,95267
NM,Female,75-84 years,52441
NM,Male,75-84 years,42826
NM,All Sexes,85 years and over,36264
NM,Female,85 years and over,22602
NM,Male,85 years and over,13662
NM,All Sexes,Total,2067586
NM,Female,Total,1036146
NM,Male,Total,1031440
NV,All Sexes,25-34 years,407455
NV,Female,25-34 years,199872
NV,Male,25-34 years,207583
NV,All Sexes,Under 25 years,898891
